stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
718360,99999,2010,08,12,61.5,24,55.4,24,1014.4,22,1013.4,7,8.6,24,5.9,24,12.0,15.9,75.9,47.1,0.0,0.0,0,0,0,0,0,0
722317,13970,2010,10,15,62.0,24,46.1,24,1019.6,24,1017.0,24,10.0,24,1.7,24,8.0,999.9,80.1,45.0,0.0,0.0,0,0,0,0,0,0
483900,99999,2010,03,19,83.0,5,66.5,5,1011.7,5,995.7,5,5.3,5,0.8,5,1.9,999.9,91.9,66.4,0.0,0.0,0,0,0,0,0,0
722810,23199,2010,04,03,63.4,24,41.0,24,1013.6,24,1013.5,24,10.0,24,5.4,24,9.9,999.9,79.0,48.9,0.0,0.0,0,0,0,0,0,0
200690,99999,2010,09,23,29.3,8,24.7,8,1032.5,8,1031.2,8,13.9,8,10.9,8,13.6,999.9,30.9,26.4,0.0,2.4,0,0,1,0,0,0
724093,13764,2010,01,20,39.7,24,30.5,24,1014.3,24,1012.4,24,8.9,24,4.0,24,9.9,999.9,46.0,35.1,0.0,0.0,0,0,0,0,0,0
474260,99999,2010,05,04,47.8,24,37.6,24,1011.0,24,1006.4,24,11.2,24,7.5,24,18.1,999.9,54.5,43.3,0.0,0.0,1,0,0,0,0,0
104760,99999,2010,06,15,58.6,24,44.6,24,1020.7,16,1008.6,16,13.0,24,4.8,24,9.7,999.9,68.7,42.8,0.0,0.0,0,0,0,0,0,0
765810,99999,2010,12,03,56.8,4,47.4,4,1023.9,4,911.1,4,10.1,4,0.0,4,999.9,999.9,76.1,45.0,0.0,0.0,0,0,0,0,0,0
076270,99999,2010,03,27,50.3,24,36.3,24,1020.0,24,971.1,24,31.1,12,9.1,24,22.9,42.0,60.1,38.5,0.0,0.0,0,0,0,0,0,0
504680,99999,2010,10,05,55.0,8,36.6,8,1006.8,8,987.0,4,12.4,8,5.3,8,9.7,999.9,72.7,32.2,0.0,0.0,0,0,0,0,0,0
281160,99999,2010,06,20,58.5,8,47.4,8,1021.7,8,999.3,8,31.1,8,4.6,8,7.8,999.9,70.7,40.5,0.0,0.0,0,0,0,0,0,0
702610,26411,2010,04,09,21.8,24,7.7,24,1024.2,24,1006.6,24,10.0,24,4.3,24,12.0,15.9,33.1,9.0,0.0,5.1,0,0,0,0,0,0
289780,99999,2010,10,17,33.8,8,24.8,8,1019.6,8,970.6,8,12.4,4,2.2,8,7.8,999.9,48.2,23.4,0.0,0.0,0,0,0,0,0,0
722108,12894,2010,04,26,76.4,24,68.6,24,1006.2,15,1005.3,24,8.8,24,9.0,24,21.0,31.1,82.0,68.0,1.79,0.0,1,1,0,0,1,0
308440,99999,2010,04,23,42.9,8,22.3,8,1013.9,8,920.1,8,28.7,8,7.8,8,11.7,999.9,55.4,20.3,0.0,0.0,0,0,0,0,0,0
321500,99999,2010,08,13,64.2,24,60.9,24,1004.3,4,1001.5,4,7.0,24,5.0,24,11.7,999.9,74.3,55.4,0.0,0.0,0,1,0,0,0,0
724029,93775,2010,08,14,77.6,24,64.2,24,1018.2,24,1011.1,24,10.0,24,2.4,24,6.0,999.9,88.0,70.0,0.02,0.0,0,0,0,0,0,0
309650,99999,2010,06,27,86.5,8,48.5,8,999.7,8,927.3,8,31.1,8,5.6,8,7.8,999.9,104.7,61.2,0.0,0.0,0,0,0,0,0,0
895730,99999,2010,09,18,18.6,4,3.3,4,978.4,4,976.2,4,17.1,4,17.5,4,25.1,999.9,20.5,17.8,0.0,0.0,0,0,0,0,0,0
281160,99999,2010,07,23,76.3,8,59.8,8,1018.8,8,997.4,8,31.1,8,3.2,8,5.8,999.9,90.7,57.6,0.0,0.0,0,0,0,0,0,0
076220,99999,2010,02,01,31.8,24,26.0,24,1021.5,24,1005.3,24,7.9,11,2.2,24,6.0,11.1,47.3,21.9,0.0,0.0,0,0,0,0,0,0
532760,99999,2010,05,07,49.8,8,23.8,8,1007.4,8,878.0,4,17.1,8,11.4,8,23.3,999.9,59.5,43.2,0.0,0.0,0,0,0,0,0,0
471590,99999,2010,09,17,77.2,8,63.5,8,1012.7,8,1004.8,8,12.9,8,2.7,8,8.0,999.9,84.7,69.8,0.0,0.0,0,0,0,0,0,0
724508,03997,2010,06,28,76.1,24,63.8,24,1011.7,24,982.4,24,9.2,24,4.9,24,9.9,15.0,91.0,61.0,0.0,0.0,0,0,0,0,0,0
313480,99999,2010,02,05,11.3,7,9.2,7,1019.6,6,999.5,6,10.8,7,3.6,7,7.8,999.9,14.4,-10.5,0.0,18.5,0,0,1,0,0,0
725100,94746,2010,08,23,59.9,24,59.8,24,1014.8,6,978.7,24,2.9,24,11.5,24,19.0,33.0,62.6,57.2,1.75,0.0,1,1,0,0,0,0
722517,12932,2010,04,04,74.9,24,68.4,24,1012.6,16,1006.3,24,8.5,24,11.4,24,18.1,22.9,84.0,70.0,0.0,0.0,0,1,0,0,0,0
723525,93986,2010,02,21,36.9,24,35.3,24,1011.7,18,954.7,24,5.8,24,13.5,24,18.1,25.1,42.8,33.8,0.07,0.0,1,1,0,0,1,0
072300,99999,2010,05,19,58.9,24,45.0,24,1030.3,24,1024.3,24,13.3,12,4.0,24,8.0,17.1,71.2,46.2,0.0,0.0,0,0,0,0,0,0
967370,99999,2010,06,11,81.6,8,76.7,8,1008.7,8,1005.7,8,3.7,8,2.3,8,8.0,999.9,89.6,76.6,0.0,0.0,0,0,0,0,0,0
407010,99999,2010,08,11,78.1,8,47.1,8,1005.9,7,859.0,8,6.1,8,1.5,8,3.9,999.9,90.7,64.4,0.0,0.0,0,1,0,0,1,0
318250,99999,2010,08,28,67.9,7,63.6,7,1015.8,7,996.7,7,31.1,7,0.6,7,1.9,999.9,77.0,52.5,0.0,0.0,0,0,0,0,0,0
725920,24257,2010,12,13,48.9,24,48.5,24,1020.4,14,1002.7,24,1.3,24,1.1,24,5.1,999.9,51.8,48.0,0.0,0.0,1,0,0,0,0,0
722116,12873,2010,11,26,72.0,24,65.8,24,1015.5,22,1015.1,24,9.7,24,6.5,24,15.0,22.0,82.0,66.9,0.0,0.0,0,1,0,0,0,0
670020,99999,2010,07,24,77.2,24,68.2,24,1018.3,8,1014.9,8,10.9,24,9.3,23,18.1,999.9,87.1,69.8,0.0,0.0,0,0,0,0,0,0
690150,93121,2010,07,01,87.9,17,34.0,17,1007.7,17,931.0,17,7.0,10,6.7,17,15.9,22.0,105.1,73.0,0.0,0.0,0,0,0,0,0,0
122720,99999,2010,03,10,25.6,8,17.2,8,1030.3,8,1012.7,8,7.8,8,1.7,8,3.9,999.9,38.5,12.4,0.0,0.0,0,0,0,0,0,0
727347,14841,2010,11,10,41.2,24,37.4,24,1023.2,18,996.5,24,7.6,24,5.2,24,12.0,17.1,55.9,27.0,0.0,0.0,1,0,0,0,0,0
725020,14734,2010,09,05,68.8,24,43.3,24,1012.8,24,1011.8,24,10.0,24,10.3,24,18.1,22.0,82.9,57.0,0.0,0.0,0,0,0,0,0,0
725156,14748,2010,08,05,76.7,24,68.0,24,1005.1,23,971.6,24,7.8,24,5.2,24,13.0,19.0,87.1,70.0,0.05,0.0,0,1,0,0,0,0
024810,99999,2010,07,14,69.8,24,56.0,24,1010.9,24,1004.2,24,21.5,24,4.1,24,7.8,999.9,80.2,57.2,0.0,0.0,0,0,0,0,0,0
723815,23161,2010,08,25,93.9,24,45.0,24,1009.3,24,944.0,24,10.0,24,6.8,24,22.9,35.9,109.0,78.1,0.0,0.0,0,0,0,0,0,0
889030,99999,2010,07,05,31.2,4,20.2,4,999.9,4,999.9,4,0.0,4,7.0,4,14.0,999.9,41.5,28.4,0.0,0.0,0,0,0,0,0,0
616300,99999,2010,10,30,86.3,15,57.5,15,1011.0,8,1009.1,8,6.3,15,3.4,15,6.0,999.9,101.3,73.6,0.0,0.0,0,0,0,0,0,0
306120,99999,2010,09,07,59.4,8,49.4,8,1011.4,8,961.9,8,31.1,5,6.3,8,13.6,999.9,72.9,47.8,0.0,0.0,0,0,0,0,0,0
317700,99999,2010,03,05,15.3,6,13.8,6,1023.1,6,1019.9,6,0.4,6,4.2,6,5.8,999.9,16.2,12.9,0.0,39.4,0,0,1,0,0,0
282160,99999,2010,04,23,61.0,7,42.3,7,1012.7,7,986.1,7,23.1,7,9.4,7,15.5,999.9,74.1,50.0,0.0,0.0,0,0,0,0,0,0
408450,99999,2010,11,16,80.1,13,59.1,13,1016.9,5,1016.4,5,6.2,13,4.1,13,9.9,999.9,86.0,76.6,0.0,0.0,0,0,0,0,0,0
417560,99999,2010,02,09,62.6,8,34.8,8,1016.3,8,1009.8,5,1.5,8,4.0,8,6.0,999.9,71.6,54.1,0.0,0.0,0,0,0,0,0,0
037810,99999,2010,05,10,45.3,23,37.2,23,1012.2,23,991.5,23,18.5,23,6.0,23,8.9,999.9,53.8,38.8,0.0,0.0,0,1,0,0,0,0
476200,99999,2010,06,12,71.5,24,57.0,24,1012.4,24,928.2,24,9.2,24,5.1,24,9.9,999.9,83.1,62.4,0.0,0.0,0,0,0,0,0,0
268870,99999,2010,12,26,35.5,6,34.8,6,1002.2,6,981.6,6,1.6,6,5.5,6,9.7,999.9,39.2,30.2,0.16,7.1,0,1,1,0,0,0
026610,99999,2010,04,11,41.7,24,35.8,24,1032.2,24,1003.5,24,19.7,24,4.3,24,5.8,999.9,51.1,34.7,0.04,0.0,0,1,0,0,0,0
236780,99999,2010,08,08,51.1,8,47.3,8,996.9,8,991.6,7,8.7,6,5.6,8,7.8,999.9,53.2,47.5,0.59,0.0,0,1,0,0,0,0
485800,99999,2010,09,03,81.9,8,75.7,8,1008.6,8,1007.9,8,5.7,8,1.1,8,5.1,999.9,89.6,77.7,0.19,0.0,0,0,0,0,0,0
670230,99999,2010,10,28,78.4,5,71.5,5,1013.9,5,1013.3,5,21.7,5,8.4,5,12.0,999.9,85.3,68.4,0.0,0.0,0,0,0,0,0,0
710950,99999,2010,02,26,-24.7,24,-31.8,24,1022.0,23,1014.6,7,9.4,24,4.1,24,8.9,28.0,-14.8,-31.0,0.0,0.0,0,0,0,0,0,0
688420,99999,2010,12,25,69.3,22,61.2,22,1018.7,4,1011.7,4,7.7,22,10.0,22,15.9,999.9,75.2,65.1,0.33,0.0,0,1,0,0,0,0
100550,99999,2010,10,11,49.6,16,45.5,16,1020.1,16,1019.1,16,13.2,16,5.3,16,7.8,999.9,55.0,43.7,0.0,0.0,1,0,0,0,0,0
085610,99999,2010,12,08,59.2,8,56.7,8,1007.9,8,985.0,8,8.4,8,8.0,8,11.7,27.2,64.4,55.0,0.14,0.0,0,1,0,0,0,0
